Characters,Locations,Situations,Problems,Jobs
Spiderman,Home,make Zoom Calls,Bad Wifi,"Digital FX, Digital Artist"
"captain America ",Walmart,sort stuff,gun shooting,flower shop
iron man,"greenhouse ","plant flowers ",flowers don't grow,"Hair Stylest "
Hulk,"A cabinet shop ","Make cabinets ","Cut off their hand ","Millionaire "
Wanda,Orchard Hills Elementary,clean,not clean enough,IDK
Ant-Man,Rowelys red barn,Scoop ice cream,Spill ice cream,"lawyer "
black panther,Maracas mexican grill,be a waitress,get hair in someone's food,Coder
Moon Knight,Macey's,work at Service Counter,It's my brother,vending machine stocker
Wolverine,Cabinet Shop,Put on drawer fronts,put on the drawer front backwards,"Film Director "
Bucky Barnes,Parks and Recreation Installation,do Business things,The people of Walmart getting out of hand,Movie Director
"dr strange ",costa vida,Build playgrounds,injuries,Be an entrepreneur and start my own business
DeadPool,"I worked at Macys ",Make aisle look nice and neat,Somebody coming through the aisles and knocking everything off the shelves,NFL football player
Superman,Ryan Reynolds office,make food,"they get burnt ","be a millionaire "
Batman,The bathroom in C hall,bag items for people,"I could not double bag an item ",To take Ryan Reynolds job
wonder women,bathroom,Look at Ryan Reynolds,Ryan Reynold shows fires you,
"Wonder Woman ",lunchroom,Talk to friends,A fight,
Flash,"The Main Gym ",make friends,bad grades,
Hal Jordan,gym,"kiss people ",The bees invade,
Aquaman,underground track,"Hangout with friends ",Wood shop burns down,
Dr Fate,The set of The Pride,Leave early,Sewage getting backed up,
Batman or Joker,cafeteria,Sluff,bombed,
Black Adam,"Lion Statue ",play hay day,Ryan Reynold dosn't show up,
Green Lantern,The locker room bathrooms,Play Smash Bros.,Everyone staring at you,
Spongebob,Video production room,Take photos,"Someone rips their pants ",
Donald Duck,"down stairs track ",sleep,thrown in trash,
elsa,Ryan Reynold shrine 2.0,perform,Get dumped,
"Mickey Mouse ",Little Caesars,Hangout with friends,"walk out the bathroom with tp ",
Homer Simpson,P-hill,lift weights,I walk into the wrong class,
Ferb,Payson market,"play lacrosse ",get your car stolen,
Sponge bod,"Memorial Park ",,You buy chips but they get stuck in the machine,
Jotaro Kujo,Temple,,Fall on you face,
Beavis,My House,,Rip pants open,
Bart Simpson,parson Walmart,,forget to wear pants,
Phineas,Memorial Park,,"get pantsed ",
"phinease ",Theatre Room,,Ryan Reynolds makes fun of you,
Theo,Payson pool,,Someone telling a joke,
Daxton Wagner,"Main Street ",,u poop ur pants,
Arnold,Ryan Reynold shrine,,"Someone pees their pants ",
Taryn degroff,,,someone telling jokes,
"Sophia Carr ",,,be on the pride,
jared Watkins,,,a lion gets let into the school,
Spencer King,,,Rap battle breaks out in the halls,
Nick Dansie,,,someone else falling on their face,
Kyle Stanworth,,,Have a roast battle,
Taryn,,,people run around screaming,
Mr Marchant,,,"I pantsed a kid and under came down ",
Brinley Bettis,,,Ryan Reynolds Plays patty cake with you,
Dylan Wall,,,,
sam,,,,
"braden berhend ",,,,
Abraham Lincoln,,,,
Napoleon,,,,
gorge Washington,,,,
"Elvis Presly ",,,,
George Washington,,,,
Martin Luther King,,,,
Vincent Van go,,,,
John Wilkes Booth,,,,
Benjamin Franklin,,,,
Playboi Carti,,,,
Christipher Nolan,,,,
"George w bush ",,,,
Ryan Reynolds,,,,
Adam Strange,,,,
Al Pratt,,,,
Alan Scott,,,,
Animal Man,,,,
Apollo,,,,
Aquaman,,,,
Atom Smasher,,,,
Barbara Gordon,,,,
Barry Allen,,,,
Batman,,,,
Batwoman,,,,
Beast Boy,,,,
Big Barda,,,,
Billy Batson,,,,
Black Canary,,,,
Black Lightning,,,,
Blue Beetle (Reyes),,,,
Blue Devil,,,,
Booster Gold,,,,
Captain Atom,,,,
CHARACTER NAME,,,,
Commander Steel,,,,
Crimson Avenger (Travis),,,,
Cyborg,,,,
Cyclone,,,,
Damage,,,,
Deadman,,,,
Dick Grayson,,,,
Doctor Mid-Nite,,,,
Don Hall,,,,
Donna Troy,,,,
Dr. Manhattan,,,,
Elongated Man,,,,
Etrigan,,,,
Fire,,,,
Firestorm,,,,
Green Arrow,,,,
Grifter,,,,
Guy Gardner,,,,
Hal Jordan,,,,
Hank Hall,,,,
Hawkgirl,,,,
Hawkman,,,,
Hourman (Matthew Tyler),,,,
Hourman (Rex Tyler),,,,
Hourman (Richard Tyler),,,,
Huntress (Bertinelli),,,,
Ice,,,,
Icon,,,,
Jack Knight,,,,
Jakeem Thunder,,,,
Jay Garrick,,,,
Jean-Paul Valley,,,,
John Constantine,,,,
John Stewart,,,,
Johnny Thunder,,,,
Jonah Hex,,,,
Kate Spencer,,,,
Kent V. Nelson,,,,
Kon-El,,,,
Kyle Rayner,,,,
Martian Manhunter,,,,
Metamorpho,,,,
Midnighter,,,,
Miss Martian,,,,
Mr. Majestic,,,,
Mr. Miracle,,,,
Mr. Terrific,,,,
Nite Owl (Dreiberg),,,,
Phantom Stranger,,,,
Plastic Man,,,,
Power Girl,,,,
Question (Sage),,,,
Ragman,,,,
Raven,,,,
Ray Palmer,,,,
Red Tornado,,,,
Renee Montoya,,,,
Rocket,,,,
Rorschach,,,,
Roy Harper,,,,
Sandy Hawkins,,,,
Silk Spectre,,,,
Spectre,,,,
Starfire,,,,
Stargirl,,,,
Static,,,,
Supergirl,,,,
Superman,,,,
Swamp Thing,,,,
Ted Knight,,,,
